date,market_1,market_2,market_3,market_4,market_5,market_6,market_7,market_8
2017-03-25,2.191067106164428,3.424249009122093,2.5513736246478853,4.427979794795526,4.026955253260546,3.84341336890941,3.2556514363143467,4.7833615308227255
2017-03-26,2.1940376277381506,3.423769652616706,2.551050976695197,4.428632464457474,4.03064616964334,3.847225818353294,3.269061877101304,4.786632327108462
2017-03-27,2.2308924515268145,3.449042539382833,2.5742249144510896,4.439333381826824,4.0472544633888345,3.868324433473078,3.305189375870417,4.807261813026048
2017-03-28,2.248953347791116,3.474414872900804,2.5987328867317427,4.439035777670375,4.067799110196861,3.8767376475238864,3.317683397022223,4.818334439653442
2017-03-29,2.2349502513803903,3.474511452235075,2.595067540525604,4.422753361146081,4.05248967771995,3.854461247830993,3.3127853090479453,4.80059761588866
2017-03-30,2.2299053755469345,3.4825203737441646,2.585498265979121,4.405240152105976,4.051945836886909,3.8459214363974534,3.3083079300979357,4.804130952002665
2017-03-31,2.262537365245671,3.48791452623058,2.5838919222716545,4.4028964983658865,4.074677456989366,3.841443844722063,3.3140804425317723,4.8162477181324945
2017-04-01,2.3454277465347912,3.601505592741056,2.6854361260459854,4.540343611408189,4.139769243224075,3.9004025132456683,3.4278944490005543,4.9125117096402215
2017-04-02,2.3470830729002206,3.608688055105668,2.6844339688539214,4.548485048540187,4.154927228949298,3.9178094084325834,3.429560225204995,4.937946096661204
2017-04-03,2.3741165572383727,3.6237082717014726,2.7032044260229897,4.586220271893902,4.184118680825681,3.9443080838714435,3.4532207951997016,4.982174701633987
2017-04-04,2.3910910842047297,3.631498533801029,2.7130126856656096,4.6133142956335815,4.190221096232893,3.9661446504176068,3.462288138092899,4.994169802967405
2017-04-05,2.3820784392629677,3.619290304321392,2.7102892973827046,4.617387615592929,4.187872281266824,3.986382033392258,3.4485675656029637,4.982671862553396
2017-04-06,2.3855172523009616,3.6113509478958576,2.7186916375606622,4.615944900780257,4.195021001371588,4.049782290899072,3.4490475040005917,4.984761738217981
2017-04-07,2.396482037591344,3.6044980629537937,2.732443765661002,4.625001138262187,4.215135666400551,4.089265618047679,3.4490605164345536,4.991996853405411
2017-04-08,2.4092763541520803,3.5984937502066128,2.750196121745334,4.636777076916598,4.23536520816287,4.11814966370317,3.4553456022787996,4.994004333751849
2017-04-09,2.4308961686597876,3.5925581617840048,2.7648828081599826,4.648591341052407,4.256859363976129,4.108427391749521,3.456960293667447,5.001206852682883
2017-04-10,2.472087183569528,3.5969295507830306,2.791283361298932,4.670000429481023,4.280417306666351,4.1071836394984675,3.469626400596238,5.029475566504972
